partid,sich1d,sich2d,sich3d,sich4r,nati1d,nati2r,nati3d,nati4d,simi1d,simi2d,simi3r,simi4d,trutm1,trutm2,trutm3,trunm1,trunm2,trunm3,atnucl,atther,athydr,atgeot,atwind,trugo1,trugo2,trugo3,truco1,truco2,truco3,expval,expsrc,ttext1,ttext2,ttext3,ehydr1,ehydr2,ehydr3,ehydr4,ehydr5,ehydr6,ehydr7,ehydr8,acnucl,acther,achydr,acgeot,acwind,gender,ethnic,ageyea,edupar,polori,source
143,1,2,-3,-3,3, ,-2,-2,1,2,0,-1,3,-2,-3,-2,3,-1,-3,1,-3,2,3,-3,-3,-3,-3,-2,-3,1,1,2,0,-1,-1,1,1,-3,0,0,-1, ,-3,-3,-3,1,3,1,7,20,4,2,402
144,1,2,0,-2,-1,-3,-3,0,1,3,0,1,0,2,0,0,0,2,-2,0,1,0,2,-1,1,-1,-1,-1,-1,1,0,-2,0,-1,0,2,1,-2,2,-2,-1,-2,-2,-1,-1,0,2,0,5,20,4,3,402
146,3,3,2,-3,3,-3,-1,3,2,2,2,1,3,2,0,0,0,2,2,0,-3,-3,3,-2,-1,-2,-2,-3,-3,0,1,-2,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,0,5,20,3,6,402
147,3,2,3,3,2,-3,1,1,3,2,2,2,3,2,2,0,0,2,-3,-3,3,3,3,-3,-2,-3,-3,-1,-2,0,0,2,2,1,1,0,1,3,3,1,0,3,-3,-3,2,3,3,0,3,30,2,5,402
148,2,0,1,0,0,-1,0,0,1,2,0,2,-1,-1,0,0,0,2,-3,-2,0,2,3,-2,0,-3,0,-3,-2,0,-1,-1,-2,-1,-3,-3,-3,-3,-2,-3,-3,-3,2,-1,0,-3,3,0,3,20,3,3,402
152,2,-2,3,-1,3,-3,1,0,-2,3,-2,-1,2,2,0,0,0,1,-3,0,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1,1,1,-3,2,-2,-1,-2,-3,-1,-3,-1,-1,0,4,21,3,3,402
153,2,-2,0,1,3,-3,0,0,-1,3,-1,0,0,-1,-1,0,0,1,1,-2,-3,2,3,-3,-2,-3,-3,-2,-3,1,0,1,-2,-2,1,1,1,-3,-1,-3,-3,-3,1,-3,-1,1,2,1,4,23,4,3,402
155,3,2,3,1,3,-2,3,2,-2,-3,-1,0,0,-2,0,0,1,1,-2,-3,-1,3,3,2,2,-2,-1,-3,-3,0,1,3,2,2,-3,3,3,-3,0,0,-3,-3,-3,-3,-3,3,3,1,6,22,6,4,402
156,3,2,0,-1,3,-3,2,3,2,2,2,-2,2,1,0,-2,-2,0,-3,-1,3,2,2,1,2,1,3,1,2,0,0,2,1,2,1,0,-1,2,1,0,-2,-1,-3,-1,2,2,2,1,5,20,2,4,402
161,-2,0,0,0,-2,-3,-3,3,3,3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-1,-3,-3,1,-3,1,1,-3,-3,-3,-3,0,0,-3,-2,2,-2,-3,-3,-3,1,3,3,1,2,21,6,1,402
